Gene Symbol	CD10	CD31	CD45	EPCAM
POLDIP2	28.26	35.62	11.47	77.21
PPAP2A	81.19	139.05	6.2	15.18
PPAP2C	2.14	11.3	2.04	42.59
PPARGC1B	1.53	18.12	2.59	4.18
PPM1F	4.03	20.67	2.75	3.24
PPP2R5B	4	12.97	2.21	5.54
PRCP	73.42	378.99	30.56	45.36
PRDM5	6.24	18.24	1.92	4.66
PRELP	133.65	2.1	1.01	1.03
PREX2	3.47	81.54	1.03	1.8
PRICKLE4	1.29	7.63	1.29	2.12
PRKAA2	1.36	1.55	1.05	7.85
PRKCB	1.31	1.86	24.48	1.54
PRKCE	5.63	71.96	6.42	12.35
PRKCH	5.99	383.67	71.45	60.73
PROCR	6.55	35.56	2.15	8.65
PROX1	3.61	115.94	2.12	3.46
PRRG1	10.6	40.67	1.25	8.23
PRRX1	397.5	2.9	1.84	1.71
PRSS16	1	1.97	2.15	21.7
PSAT1	3.98	2.4	7.94	27.38
PTGER4	8.83	7.2	37.11	5.38
PTPN3	2.22	3.62	1.16	23.53
PTPN6	1.52	4.21	48.79	18.55
PTPN7	1.18	3.5	21.66	1.05
PTPRB	1.26	483.32	2.04	5
PTPRC	1.09	3.47	209.42	1.28
PTPRD	37.74	4.07	1.58	7.25
PTPRF	6.53	4.33	2.99	59.8
PTPRM	31.62	257.8	6.23	15.79
PTPRN2	3.04	12.87	3.05	2.51
PTRF	123.81	204.84	2.46	13.63
PXN	13.29	113.32	16.15	30.83
RAB25	1.77	2.7	4.71	286.44
RACGAP1	18.88	7.98	9.74	49.71
RALGAPA2	8.4	120.6	8.68	34.26
RAMP2	5.41	769.32	1.45	1.77
RAMP3	1	153.95	1.05	1
RAPGEF3	1.85	34.53	1.68	2.02
RAPGEF4	1.59	100.17	2.19	2.78
RAPGEF5	6.9	227.65	2.76	27.76
RASAL2	23	57.79	4.35	20.14
RASGRP1	1.13	1.36	16.46	4.93
RASGRP3	1.12	108.76	14.49	2.15
RASGRP4	1	1.03	8.94	1.02
RASIP1	3.09	46.72	1.13	1.17
RBMS2	44.85	154.22	7.14	24.11
RBP5	15.1	34.03	1.89	2.09
RBP7	1	55.62	3.57	1.83
RBPMS2	9.3	12.02	1	1.83
RCAN1	55.22	180.19	6.15	17.64
RDX	51.79	183.33	13.45	74.46
REEP1	1.24	10.23	1	1.98
RELL1	9.15	132.4	9.04	13.24
RELN	1.14	36.94	1.03	1.14
RFK	7.91	37.89	3.11	13.76
RGCC	55.91	296.47	37.89	9.14
RGL1	18.23	45.9	7.98	9.06
RGS1	1.71	11.21	432.54	1.74
RGS3	26.79	98.11	9.02	11.49
RHOH	2	3.08	53.23	4.76
RHOJ	16.86	277.16	1	1.02
RIMKLB	7.55	67.65	3.13	37.21
RMI2	3.13	3.39	9.11	25.72
RNASE1	2.7	896	75.51	68.11
RNASE6	1	1.48	39.53	1.26
RNF122	10.44	29.26	6.7	1.97
RNF166	3.06	7.03	24.25	2.78
ROBO3	11.21	12.92	2.31	1.44
ROBO4	1.24	202.65	1.73	1.03
RP11-1024P17.1	1.72	12.7	1.93	1.45
RP11-363E7.4	1.45	21.62	1.25	6.79
RP11-473M20.9	1.16	15.17	3.72	1.25
RP11-532E4.2	1.28	1	1.77	83.22
RP11-588H23.3	1	18.72	1.49	1.16
RP11-677N16.1	1.53	2.84	8.62	1.69
RP11-736K20.5	2.47	9.78	1	1.64
RP11-775C24.5	1.78	20.33	1.73	3.72
RP11-848G14.5	1.03	1.33	14.73	1.12
RP11-894P9.1	1.63	10.26	3.48	2.2
RP11-89K11.1	1.39	6.39	1.66	1.12
RP13-104F24.2	1.32	15.75	2.47	5.82
RP13-104F24.3	1.12	15.92	3.07	4.36
RPGR	3.74	61.42	5.18	7.16
RPS6KA2	12.64	123.62	3	17.79
RRM2	4.13	6.2	7.78	48.69
RUNX3	2.24	1.39	41.73	2.44
S100A14	5.77	2.45	3.6	150.43
S1PR1	2.44	547.2	8.21	1.12
SAMSN1	1.14	2.26	96.78	1.52
SASH1	14.43	122.14	3.78	7.9
SCAMP5	1.62	16.04	8.61	2.62
SCARF1	1.06	48.95	4.84	1.23
SCGB1A1	1	1	3.04	652.95
SCRN1	19.72	20.13	9.7	60.7
SDC1	52.9	7.81	14.07	246.65
SDC2	116.41	4.4	13.69	6.46
SDCBP2-AS1	5.36	53.73	5.56	5.45
SDPR	3.84	134.17	1.38	5.5
SEC14L1	40.91	453.14	72.12	42.76
SELP	6.04	291.7	1.58	1.05
SELPLG	1.2	4.13	44.54	1.99
SEMA3F	1.62	55.69	1.2	12.5
SEMA4D	5.15	7.76	60.22	19.54
SEMA5A	18.52	2.93	1.18	2.24
SEMA6A	8.51	127.67	2.53	4.3
SENCR	1.04	10.35	1.37	1
SEPN1	57.9	200.43	12.57	50.67
SERPINF1	954.25	5.54	14.83	116.93
SFRP2	1064.11	7.31	1.17	1.26
SFTPA2	2.32	3.28	4.07	1314.42
SFTPB	3.92	9.06	10.55	1892.24
SGOL1	1.38	2.1	2.79	9.43
SH2B3	7.28	56.29	13.58	3.06
SH2D3C	1.2	128.97	7.19	1.29
SH3BGRL2	3.7	41.23	1.23	18.64
SH3BP5	19.25	211.04	28.51	13.35
SH3PXD2A	71.48	12.61	5.16	15.73
SH3PXD2B	106.22	26.31	8.18	14.03
SHANK2	1.62	1.39	1.06	17.58
SHANK3	1.28	30.1	1.06	1.82
SHC2	6.53	16.01	1.04	2.71
SHE	1.46	60.31	1.13	6.8
SHMT1	1.39	5.23	3.54	13.38
SHROOM4	4.75	111.23	1.05	6.27
SHTN1	4.7	2.89	9.58	33.24
SIGLEC1	1	1.51	8.63	1.02
SIGLEC9	1.08	1.1	7.33	1
SIN3B	8.96	37.65	9.49	9
SIRPB2	1	3.69	8.67	1.24
SKA3	1.29	2.34	6.42	10.71
SLA	3.78	2.13	81.09	1.57
SLAMF1	1	2.81	10.38	1
SLC11A1	1.38	2.35	91.94	1.27
SLC25A10	1.98	1.55	1.45	9.09
SLC25A4	3.78	13.17	2.88	26.03
SLC25A5	95.11	171.21	48.16	449.6
SLC35G2	4.2	20.05	1.49	5.71
SLCO2A1	2.49	1191.18	1.61	15.31
SLCO2B1	2	62.7	31.31	1.11
SLIT3	37.79	2.54	1.02	1.2
SMAD1	26.79	361.77	3.13	39.84
SNCG	1.32	33.66	1	14.54
SNRK	14.52	162.69	11.65	10.36
SOCS2	6.45	89.45	2.58	19.34
SOD3	35.46	1.74	1.15	9.38
SORBS2	4.95	67.05	1.54	26.08
SOX17	1.02	34.65	1	1
SOX7	1	130.68	1.24	18.17
SOX9	4.63	1.11	1.21	15.79
SPARCL1	356.22	2323.62	1.74	4.36
SPINT1	3.74	2.62	6.03	118.27
SPINT2	15.14	8.12	29.43	511.95
SPN	1.01	1.46	21.17	1.06
SPNS2	1.07	52.5	1.1	2.31
SPOCK2	1.47	21.6	33.25	1.48
SPON1	155.18	2.09	2.28	1.96
SPRY4	63.45	191.7	1.29	29.28
SPTBN1	113.25	687.34	20.49	147.92
SPTLC2	12.56	84.76	7.95	29.02
SRPX	13.15	58.81	1	1.77
SRPX2	70.2	4.53	1.25	9.58
ST14	1.82	1.57	23.14	90.21
ST6GALNAC3	1.02	17.35	2.37	1.03
STAB1	1.85	136.07	34.3	1.01
STARD13	33.3	56.81	2.04	2.32
STARD8	1.98	23.41	3.54	1.57
STC2	2.86	59.97	1.18	9.71
STK10	4.36	21.08	39.05	4.36
STK32B	1.19	11.74	1.45	2.12
STOM	153.22	908.88	32.66	161.19
STRBP	3.97	11.82	12.06	52.9
SULF1	903.13	23.96	1.94	7.5
SULT1A4	1.25	19.76	2.03	2.95
SULT1C4	3.49	33.55	1.19	1.17
SWAP70	19.08	190.67	13.66	51.35
SYBU	1.39	19.29	1.22	9.04
SYNPO	43.07	209.6	3.25	12.81
SYT15	2.43	19.25	1.65	3.55
TACC1	119.33	237.05	42.79	33.24
TACSTD2	4.29	12.92	5.75	293.71
TAGAP	1.41	3.18	81.93	1.43
TAL1	1.05	27.56	1.8	1.05
TANC1	15.84	61.1	1.74	21.74
TBXA2R	1.81	8.31	1	1.19
TBXAS1	1.51	5.2	25.94	2.84
TCF15	1	5.4	1	1
TCF4	176.12	599.63	32.09	6.93
TCN2	5.6	53.16	11.07	13.67
TEAD4	5.68	29.91	1	5.23
TEK	1.35	191.9	1.22	1.17
TESPA1	1	1	17	1
TGFA	1.09	2.75	2.4	23.93
TGFBR2	90.1	451.24	21.68	25.72
TGFBR3	21.65	163.37	5.7	2.81
TGM2	372.55	576.48	41.06	53.65
THBD	3.82	347.55	54.42	18.51
THBS2	478.69	3.81	1.11	1.41
THBS3	32.61	10.83	3.94	11.8
THEMIS2	7.63	12.77	64.32	4.44
THSD1	1.74	24.22	1.11	1.63
THSD7A	1.54	31.27	1.08	4.81
THY1	283.97	32.36	1	1.02
TIE1	1.07	141.96	1.15	1.12
TIMP1	1994.15	797.63	124.83	155.33
TIMP2	834.17	94.5	33.57	34.39
TINAGL1	1.41	42.59	1.15	8.57
TJP2	6.83	52.44	4.34	26.73
TKT	17.73	29.04	19.61	124.51
TLCD1	2.97	1	1.51	25.49
TLL1	1.14	39.54	1.11	1.23
TLR4	8.86	37.11	15.08	1.29
TM4SF1	8.14	577.87	2.34	212.49
TM4SF18	1	89.1	1.03	1.06
TM6SF1	1.27	30.38	6.45	5.75
TMC7	1.07	10.36	1	5.24
TMC8	1.4	2.59	37.66	3.1
TMCC3	3.33	30.48	5.32	5.67
TMEM106A	5.33	12.5	26.93	3.98
TMEM106C	7.48	6.96	6.91	39.9
TMEM2	33.79	458.11	47.37	60.89
TMEM204	20.85	59.63	2.48	1
TMEM254	9.45	8.85	7.29	49.27
TMEM255B	2.36	67.64	1.73	1.07
TMEM30B	8.59	2.11	1.94	43.49
TMEM41A	14.76	20.74	8.04	54.63
TMEM44	3.54	17	2	6.73
TMEM88	3	90.92	13	3.51
TMEM97	4.24	5.06	2.83	30.51
TMOD2	2.52	39.79	2.7	6.45
TMTC1	8.79	81.94	2.87	21.15
TNFAIP1	31.85	178.44	8.13	44.08
TNFAIP8L1	1.95	16.62	2.13	3.96
TNFSF13B	10.98	1.38	6.36	1.52
TNS2	74.02	130.79	3.49	11.04
TOM1L1	12.55	3.02	3.27	73.98
TOP2A	1.72	5.52	6.69	68.93
TPD52	1.44	11.14	15.45	62.82
TRAC	3.71	1.89	130.82	1.1
TRAF1	5.11	3.16	24.87	2.71
TRBC2	1	1	300.45	1.35
TRGV10	1	1	10.52	1
TRGV3	1	6.32	9.98	1
TROAP	1	1.29	2.52	10.93
TSPAN12	1.67	76.32	1.31	50.95
TSPAN15	2.61	36.88	1.98	28.94
TSPAN18	25.95	170.33	2.3	2.85
TSPAN7	4.76	370.08	2.57	69.56
TTC21A	5.5	18.86	3.44	4
TYMS	4.18	10.39	8.89	41.39
TYROBP	1.52	4.47	456.51	1.45
TYSND1	3.42	4.3	3.13	13.53
Telomerase-vert	1	1	1	5.61
UACA	56.26	138.24	4.05	7.9
UBE2T	2.11	3.94	3.96	28.55
UCP2	3.16	5.1	253.19	71.2
ULBP2	1.76	14.86	1.99	2.92
UMPS	5.03	8.71	2.93	23.49
VAMP3	71.16	201.48	33.03	61.25
VASH1	7.38	38.44	5.78	1.82
VAV1	1	1.24	24.53	3.88
VCAN	1380.67	25.43	77.06	12.72
VSIG4	1.02	1.3	43.26	1.13
VWA1	4.61	50.28	2	13.17
VWF	1.2	869.88	2.11	1.85
WFDC2	6.58	4.5	4.53	942.92
WIPF1	61.76	34.73	128.32	4.31
WWC1	10.58	1.15	1.05	21.29
ZAP70	1	1	19.06	1.07
ZBTB46	4.3	13.34	1.77	2.57
ZCCHC24	48.36	10.39	2.27	3.44
ZDHHC14	5.31	18.25	2.76	2.57
ZFPM2	14.72	24.27	1	1.97
ZMYND19	3.78	4.74	1.51	11.34
ZNF160	10.21	39.12	6.96	16.27
ZNF423	12.78	46.95	1	1.25
ZNF503	33.06	12.55	2.27	8.45
ZNF608	15.82	84.83	2.23	6.65
ZNF667-AS1	26.33	58.9	3.21	1.84
ZNF677	14.37	38.56	4.18	1.25
ZNF792	2.99	19.45	2.94	4.18
ZWINT	1.51	2.98	2.24	10.87
